ID,SN,lng,lat
NSSFHN00403,K6Y16W,113.9816589,22.62641335
NSSFHN00404,R5UJ94,113.951683,22.59633827
NSSFHN00405,8V82VX,113.9820099,22.62725449
NSSFHN00406,PB714L,113.9515991,22.59599304
NSSFHN00407,YVE134,113.9807434,22.62812424
NSSFHN00408,VU39B0,113.9512177,22.59456825
NSSFHN00409,NS8M69,113.9807434,22.62812424
NSSFHN00410,L92LS7,113.9813614,22.62852669
NSSFHN00411,X88D8J,113.9509354,22.59328842
NSSFHN00412,Y319PU,113.9816284,22.62883568
NSSFHN00413,928WZQ,113.9504471,22.59118652
NSSFHN00414,S208CU,113.9833984,22.63007355
NSSFHN00415,DX1K56,113.9503708,22.59015465
NSSFHN00416,66A0WA,113.9838943,22.62791443
NSSFHN00417,12X0JW,113.9830246,22.62808418
NSSFHN00418,6JA77S,113.9525986,22.5896244
NSSFHN00419,4F3YM0,113.953812,22.589702
NSSFHN00420,812PUY,113.9547424,22.58840942
NSSFHN00421,J616RJ,113.9842987,22.62865829
NSSFHN00422,7J14JU,113.9547501,22.58922195
NSSFHN00423,ML426Y,113.9857025,22.62893295
NSSFHN00424,0H48VR,113.9547501,22.59099197
NSSFHN00425,4U07QJ,113.9857941,22.62874794
NSSFHN00426,V5WD16,113.9560318,22.58987236
NSSFHN00427,0NPA88,113.9874954,22.62899971
NSSFHN00428,N8ZZ88,113.986702,22.62804794
NSSFHN00429,7M4Z4M,113.9875412,22.62786484
NSSFHN00430,4Q96XY,113.9864655,22.62776184
NSSFHN00431,DSJ483,113.9855042,22.62769508
NSSFHN00432,169HJG,113.9569397,22.58976746
NSSFHN00433,P88JG0,113.9588013,22.5899601
NSSFHN00434,W0S39J,113.959877,22.58982658
NSSFHN00435,5R3FR5,113.9534988,22.59513092
NSSFHN00436,UL137L,113.9543762,22.59440804
NSSFHN00437,H481GP,113.9551544,22.59376526
NSSFHN00438,24CVG4,113.956398,22.5926342
NSSFHN00439,VYQ955,113.9216843,22.52791023
NSSFHN00440,476NWC,113.9592514,22.58668327
NSSFHN00441,TH56X3,113.9551392,22.586586
NSSFHN00442,869PEA,113.9224854,22.52807617
NSSFHN00443,Z1EZ79,113.9480286,22.58641434
NSSFHN00444,8MUU75,113.9471817,22.58639526
NSSFHN00445,U4HJ55,113.9463806,22.58639717
NSSFHN00446,98JHF1,113.9433136,22.58644295
NSSFHN00447,B1PU09,113.9421768,22.58678627
NSSFHN00448,SS5F19,113.9396362,22.58729744
NSSFHN00449,89D6GX,113.9216156,22.52722168
NSSFHN00450,Q22QY4,113.9766541,22.58811951
NSSFHN00451,9VW07S,113.922081,22.52796364
NSSFHN00452,625JUN,113.9760818,22.58815193
NSSFHN00453,4GUT17,113.9800644,22.58814812
NSSFHN00454,0PT4Y0,113.9814987,22.58875275
NSSFHN00455,104NHC,113.9824142,22.5893116
NSSFHN00456,H8J05T,113.983345,22.5897789
NSSFHN00457,9EC67D,113.9232712,22.52768898
NSSFHN00458,R7Q10C,113.9223862,22.52642059
NSSFHN00459,S239FS,113.9224167,22.52662468
NSSFHN00460,Y5V6U6,113.9234314,22.52732086
NSSFHN00461,E6J1X0,113.9232712,22.52768898
NSSFHN00462,8B5AH8,113.9200134,22.52838707
NSSFHN00463,A4FJ98,113.9220657,22.52754211
NSSFHN00464,14P6NC,113.9886169,22.62780571
NSSFHN00465,E455MH,113.9885254,22.62881088
NSSFHN00466,0D4AY9,113.986763,22.62968254
NSSFHN00467,C018GH,113.9854355,22.62974548
NSSFHN00468,76FSD1,113.9720764,22.59148216
NSSFHN00469,JV5F20,113.9809723,22.63290024
